timestamp,user_id,flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_body,ACCy_body,ACCz_body,ACCx_world,ACCy_world,ACCz_world
1616135447.4565923,001,20.0,9.0,-6.0,74.0,58.0,0.871704,0.113892,-0.476562,-0.00531,0.0,-0.038168,0.015267,8.017529,2.01814,4.953833,-0.112451,0.021533,-0.139966,0.052637,0.061011,-0.161499
1616135447.4665518,001,21.0,10.0,-8.0,76.0,58.0,0.871399,0.113831,-0.477112,-0.005188,-0.007634,-0.038168,0.015267,8.055811,2.028906,4.957422,-0.081348,0.035889,-0.12561,0.056226,0.068188,-0.124414
1616135447.4767137,001,19.0,7.0,-6.0,77.0,58.0,0.871155,0.113647,-0.4776,-0.005005,-0.007634,-0.030534,0.015267,8.121607,2.015747,4.962207,-0.021533,0.027515,-0.112451,0.078955,0.050244,-0.069385
1616135447.4866323,001,22.0,10.0,-7.0,75.0,58.0,0.871033,0.113403,-0.477905,-0.004761,-0.007634,-0.015267,0.015267,8.173047,1.996606,4.947852,0.023926,0.015552,-0.123218,0.113647,0.035889,-0.040674
1616135447.4965584,001,21.0,9.0,-7.0,76.0,58.0,0.871033,0.113159,-0.477966,-0.004456,-0.007634,0.007634,0.022901,8.214917,1.982251,4.943067,0.0646,0.008374,-0.128003,0.139966,0.025122,-0.010767
1616135447.5065382,001,21.0,10.0,-5.0,75.0,61.0,0.871155,0.112976,-0.477722,-0.004089,-0.007634,0.022901,0.022901,8.189795,1.987036,4.913159,0.04187,0.019141,-0.162695,0.155518,0.044263,-0.045459
1616135447.5164669,001,22.0,10.0,-5.0,73.0,58.0,0.871399,0.112793,-0.477417,-0.003723,-0.007634,0.030534,0.022901,8.10127,1.993018,4.873682,-0.044263,0.031104,-0.209351,0.145947,0.075366,-0.13877
1616135447.526744,001,-3.0,7.0,-7.0,77.0,59.0,0.871582,0.112488,-0.477112,-0.003418,-0.015267,0.015267,0.022901,8.00437,1.984644,4.844971,-0.137573,0.029907,-0.244043,0.124414,0.090918,-0.234473
1616135447.5365381,001,21.0,8.0,-6.0,76.0,58.0,0.871643,0.112183,-0.477051,-0.003113,-0.015267,0.007634,0.022901,7.944556,1.951147,4.824634,-0.198584,0.004785,-0.266772,0.112451,0.077759,-0.302661
1616135447.5466247,001,21.0,9.0,-7.0,80.0,61.0,0.871643,0.111816,-0.477112,-0.002808,-0.015267,-0.007634,0.022901,7.924219,1.9021,4.824634,-0.220117,-0.033496,-0.266772,0.105273,0.043066,-0.327783
1616135447.5564034,001,20.0,9.0,-10.0,74.0,58.0,0.871582,0.11145,-0.477356,-0.002502,-0.015267,-0.015267,0.022901,7.931396,1.866211,4.842578,-0.217725,-0.061011,-0.246436,0.092114,0.010767,-0.320605
1616135447.5666463,001,20.0,10.0,-3.0,77.0,58.0,0.871399,0.111145,-0.477783,-0.002319,-0.015267,-0.030534,0.015267,7.967285,1.849463,4.862915,-0.187817,-0.069385,-0.220117,0.087329,-0.004785,-0.283521
1616135447.5765986,001,21.0,7.0,-10.0,78.0,58.0,0.871216,0.110779,-0.47821,-0.002136,-0.015267,-0.030534,0.015267,8.06897,1.821948,4.868896,-0.092114,-0.088525,-0.206958,0.131592,-0.035889,-0.200977
1616135447.5865846,001,21.0,8.0,-6.0,78.0,58.0,0.871094,0.110413,-0.478577,-0.002014,-0.015267,-0.015267,0.007634,8.181421,1.787256,4.882056,0.014355,-0.11604,-0.19021,0.178247,-0.077759,-0.108862
1616135447.596666,001,22.0,7.0,-8.0,77.0,59.0,0.871033,0.110107,-0.478699,-0.001831,-0.015267,0.0,0.007634,8.321386,1.781274,4.9,0.151929,-0.114844,-0.169873,0.235669,-0.095703,0.015552
1616135447.6066976,001,21.0,9.0,-6.0,75.0,58.0,0.871094,0.109924,-0.478638,-0.001648,-0.007634,0.015267,0.007634,8.338135,1.796826,4.8677,0.168677,-0.094507,-0.204565,0.271558,-0.070581,0.015552
1616135447.6164477,001,22.0,9.0,-8.0,76.0,59.0,0.871155,0.109741,-0.478516,-0.001526,-0.007634,0.015267,0.007634,8.340528,1.820752,4.848559,0.172266,-0.066992,-0.226099,0.288306,-0.040674,0.013159
1616135447.626503,001,21.0,7.0,-10.0,79.0,58.0,0.871216,0.109619,-0.478455,-0.001404,-0.007634,0.007634,0.007634,8.351294,1.844678,4.85813,0.184229,-0.039478,-0.218921,0.285913,-0.016748,0.0323
1616135447.6364594,001,20.0,9.0,-8.0,75.0,59.0,0.871216,0.109497,-0.478455,-0.001282,-0.007634,0.0,0.007634,8.359668,1.863818,4.879663,0.191406,-0.017944,-0.197388,0.269165,0.0,0.052637
1616135447.646574,001,22.0,9.0,-6.0,78.0,60.0,0.871216,0.109314,-0.478577,-0.001099,-0.007634,-0.007634,0.015267,8.330957,1.891333,4.885644,0.160303,0.014355,-0.19021,0.244043,0.0323,0.037085
1616135447.656445,001,20.0,5.0,-7.0,76.0,58.0,0.871094,0.109192,-0.478821,-0.000854,-0.007634,-0.022901,0.015267,8.345312,1.924829,4.950244,0.171069,0.05144,-0.122021,0.189014,0.055029,0.088525
1616135447.666616,001,22.0,9.0,-6.0,75.0,58.0,0.870911,0.108948,-0.479187,-0.000671,-0.007634,-0.022901,0.022901,8.348902,1.961914,4.999292,0.169873,0.095703,-0.066992,0.137573,0.087329,0.124414
1616135447.6765587,001,19.0,7.0,-9.0,78.0,57.0,0.870728,0.108704,-0.479553,-0.000427,-0.015267,-0.030534,0.022901,8.353686,1.989429,5.047143,0.169873,0.129199,-0.013159,0.088525,0.110059,0.159106
1616135447.686419,001,20.0,6.0,-6.0,75.0,58.0,0.870483,0.108337,-0.480103,-0.000122,-0.015267,-0.038168,0.030534,8.405127,2.000195,5.115332,0.212939,0.149536,0.062207,0.046655,0.111255,0.238062
1616135447.6965806,001,19.0,7.0,-6.0,76.0,61.0,0.8703,0.107849,-0.48053,0.000183,-0.015267,-0.030534,0.038168,8.490064,1.998999,5.160791,0.291895,0.160303,0.114844,0.044263,0.104077,0.332568
1616135447.7064545,001,21.0,9.0,-10.0,75.0,59.0,0.870117,0.107422,-0.480896,0.000671,-0.015267,-0.022901,0.038168,8.524755,1.98584,5.160791,0.321802,0.159106,0.119629,0.055029,0.099292,0.360083
1616135447.7163637,001,21.0,9.0,-6.0,77.0,58.0,0.869995,0.107056,-0.481201,0.00116,-0.007634,-0.015267,0.038168,8.487671,1.971484,5.128491,0.278735,0.156714,0.092114,0.055029,0.107666,0.308643
1616135447.7264895,001,21.0,8.0,-6.0,73.0,61.0,0.869873,0.10675,-0.481567,0.001709,-0.007634,-0.022901,0.038168,8.406323,1.965503,5.093799,0.191406,0.161499,0.062207,0.0323,0.126807,0.221313
1616135447.736427,001,22.0,8.0,-10.0,76.0,58.0,0.869629,0.106506,-0.482117,0.002197,-0.007634,-0.038168,0.038168,8.308228,1.977466,5.05791,0.084937,0.181836,0.034692,-0.002393,0.162695,0.122021
1616135447.746304,001,20.0,6.0,-8.0,73.0,58.0,0.869263,0.106201,-0.482788,0.002441,-0.015267,-0.053435,0.030534,8.265162,2.040869,5.05791,0.033496,0.253613,0.046655,-0.047852,0.235669,0.098096
1616135447.7562912,001,21.0,9.0,-7.0,74.0,60.0,0.868835,0.105652,-0.483643,0.002502,-0.038168,-0.061069,0.030534,8.279516,2.01814,5.03877,0.038281,0.24165,0.04187,-0.039478,0.223706,0.096899
1616135447.7664778,001,21.0,8.0,-8.0,74.0,59.0,0.868408,0.104919,-0.484558,0.002686,-0.038168,-0.061069,0.038168,8.299853,1.914062,5.002881,0.046655,0.153125,0.020337,-0.008374,0.141162,0.076563
1616135447.7763565,001,22.0,8.0,-6.0,80.0,60.0,0.868042,0.104065,-0.485474,0.003113,-0.022901,-0.061069,0.045802,8.303442,1.804004,4.949048,0.037085,0.062207,-0.019141,0.028711,0.059814,0.0323
1616135447.7865489,001,21.0,9.0,-10.0,78.0,58.0,0.867615,0.103455,-0.486328,0.003723,-0.007634,-0.053435,0.045802,8.322583,1.720264,4.90957,0.044263,-0.002393,-0.044263,0.059814,0.001196,0.014355
1616135447.796417,001,19.0,9.0,-5.0,68.0,59.0,0.867188,0.103088,-0.487122,0.004456,0.007634,-0.045802,0.045802,8.324976,1.681982,4.866504,0.035889,-0.027515,-0.072974,0.082544,-0.016748,-0.010767
1616135447.8065274,001,19.0,8.0,-7.0,76.0,61.0,0.866882,0.102844,-0.487732,0.005249,0.007634,-0.038168,0.045802,8.274732,1.677197,4.807886,-0.022729,-0.019141,-0.122021,0.092114,0.004785,-0.08374
1616135447.8164096,001,21.0,9.0,-8.0,80.0,59.0,0.866516,0.102661,-0.488403,0.006042,0.007634,-0.038168,0.045802,8.19458,1.685571,4.737305,-0.112451,0.0,-0.179443,0.092114,0.043066,-0.184229
1616135447.8265173,001,22.0,8.0,-7.0,76.0,58.0,0.86615,0.102417,-0.489136,0.006714,0.0,-0.053435,0.045802,8.12041,1.695142,4.665527,-0.196191,0.020337,-0.239258,0.096899,0.080151,-0.282324
1616135447.8363245,001,21.0,8.0,-7.0,76.0,58.0,0.865662,0.102051,-0.490051,0.007324,-0.007634,-0.061069,0.045802,8.0917,1.678394,4.600928,-0.236865,0.016748,-0.287109,0.117236,0.089722,-0.340942
1616135447.8465004,001,21.0,10.0,-7.0,75.0,59.0,0.865112,0.101562,-0.491089,0.007874,-0.015267,-0.068702,0.045802,8.053418,1.644897,4.527954,-0.288306,-0.001196,-0.342139,0.139966,0.086133,-0.415112
1616135447.8564262,001,22.0,8.0,-7.0,76.0,58.0,0.864502,0.101135,-0.49231,0.008301,-0.015267,-0.083969,0.038168,7.998389,1.591064,4.423877,-0.358887,-0.04187,-0.424683,0.18064,0.066992,-0.522778
1616135447.8663309,001,21.0,9.0,-6.0,74.0,58.0,0.863708,0.100769,-0.493774,0.008545,-0.007634,-0.099237,0.030534,8.00437,1.530054,4.362866,-0.37085,-0.092114,-0.459375,0.210547,0.023926,-0.557471
1616135447.876472,001,19.0,10.0,-6.0,75.0,58.0,0.862854,0.100464,-0.4953,0.008789,-0.007634,-0.099237,0.022901,8.103662,1.467847,4.355689,-0.289502,-0.144751,-0.437842,0.24165,-0.037085,-0.485693
1616135447.886534,001,19.0,8.0,-6.0,79.0,61.0,0.862061,0.100159,-0.496643,0.009033,-0.007634,-0.083969,0.015267,8.280713,1.454687,4.349707,-0.128003,-0.149536,-0.417505,0.308643,-0.059814,-0.337354
1616135447.8964903,001,20.0,10.0,-6.0,75.0,59.0,0.861511,0.099976,-0.497681,0.009216,-0.007634,-0.053435,0.015267,8.53313,1.526465,4.360474,0.111255,-0.071777,-0.387598,0.395972,-0.008374,-0.102881
1616135447.9065235,001,21.0,9.0,-6.0,77.0,59.0,0.861267,0.099792,-0.498169,0.009399,-0.015267,0.0,0.015267,8.805883,1.655664,4.383203,0.376831,0.062207,-0.356494,0.48689,0.093311,0.161499
1616135447.915738,001,22.0,10.0,-8.0,75.0,60.0,0.861389,0.09967,-0.497986,0.009644,-0.007634,0.038168,0.015267,9.058301,1.680786,4.470532,0.631641,0.092114,-0.27395,0.541919,0.087329,0.424683
1616135447.9256501,001,20.0,9.0,-8.0,75.0,58.0,0.861572,0.099426,-0.49762,0.010254,0.007634,0.030534,0.030534,9.014038,1.579102,4.463355,0.58977,0.0,-0.288306,0.543115,0.003589,0.366064
1616135447.9356217,001,21.0,9.0,-6.0,76.0,59.0,0.861206,0.099609,-0.49823,0.011902,0.083969,-0.053435,0.091603,8.823828,1.404443,4.374829,0.38999,-0.160303,-0.364868,0.527563,-0.120825,0.132788
1616135447.9457226,001,20.0,5.0,-6.0,73.0,58.0,0.859741,0.100159,-0.500549,0.014893,0.137405,-0.167939,0.167939,8.61687,1.454687,4.293481,0.151929,-0.086133,-0.398364,0.427075,-0.020337,-0.072974
1616135447.9563603,001,20.0,12.0,-3.0,75.0,59.0,0.857788,0.100647,-0.503723,0.018127,0.114504,-0.221374,0.19084,8.380005,1.618579,4.127197,-0.124414,0.105273,-0.500049,0.354102,0.206958,-0.327783
1616135447.9655957,001,21.0,10.0,-3.0,76.0,61.0,0.856079,0.100159,-0.506592,0.020569,0.022901,-0.160305,0.160305,7.842871,1.476221,4.069776,-0.697437,0.0,-0.502441,0.094507,0.142358,-0.842188
1616135447.9758377,001,22.0,15.0,-1.0,73.0,58.0,0.855774,0.098145,-0.507568,0.020386,-0.167939,-0.038168,0.007634,7.190894,1.641309,2.794531,-1.361377,0.197388,-1.766919,0.842188,0.614893,-1.981055
1616135447.9857342,001,22.0,13.0,0.0,76.0,59.0,0.855591,0.096313,-0.508301,0.0177,-0.198473,0.015267,-0.10687,7.997192,1.051538,3.121118,-0.559863,-0.386401,-1.431958,1.019238,-0.078955,-1.210644
1616135447.9956937,001,21.0,12.0,-1.0,74.0,60.0,0.856506,0.094116,-0.507263,0.01532,-0.175573,0.145038,-0.122137,8.309423,0.596948,3.040967,-0.234473,-0.830225,-1.542017,1.321899,-0.525171,-1.045557
1616135448.005639,001,21.0,15.0,-1.0,76.0,60.0,0.858215,0.092773,-0.5047,0.013306,-0.114504,0.236641,-0.137405,8.405127,0.327783,3.13667,-0.107666,-1.100586,-1.501343,1.372144,-0.813477,-0.964209
1616135448.0164006,001,20.0,12.0,-1.0,76.0,59.0,0.860535,0.092651,-0.500732,0.011353,-0.053435,0.305344,-0.167939,8.24602,0.285913,3.30415,-0.220117,-1.165186,-1.412817,1.235767,-0.88645,-1.041968
1616135448.0263274,001,20.0,13.0,-1.0,77.0,59.0,0.863098,0.093567,-0.496155,0.009338,-0.007634,0.320611,-0.19084,7.926611,0.339746,3.542212,-0.483301,-1.152026,-1.259692,0.955835,-0.879272,-1.207056
1616135448.035666,001,22.0,13.0,-1.0,74.0,60.0,0.865662,0.095032,-0.491455,0.007202,0.015267,0.29771,-0.206107,7.639502,0.460571,3.843677,-0.711792,-1.081445,-1.04436,0.632837,-0.824243,-1.296777
1616135448.0457473,001,22.0,13.0,-1.0,77.0,61.0,0.868042,0.096985,-0.486816,0.0047,0.022901,0.282443,-0.244275,7.479199,0.600537,4.182227,-0.811084,-1.003687,-0.787158,0.340942,-0.777588,-1.248926
1616135448.055559,001,20.0,13.0,-1.0,72.0,58.0,0.870361,0.099487,-0.482239,0.00177,0.053435,0.274809,-0.290076,7.364356,0.610107,4.443017,-0.864917,-1.069482,-0.604126,0.149536,-0.861328,-1.220215
1616135448.0656953,001,22.0,13.0,-1.0,76.0,59.0,0.872437,0.102844,-0.477783,-0.001038,0.114504,0.259542,-0.312977,7.225586,0.517993,4.614087,-0.94148,-1.250122,-0.503638,0.028711,-1.038379,-1.272852
1616135448.0758276,001,21.0,13.0,-1.0,73.0,59.0,0.874084,0.107422,-0.473694,-0.003418,0.206107,0.229008,-0.320611,7.013843,0.467749,4.760034,-1.093408,-1.403247,-0.415112,-0.123218,-1.175952,-1.391284
1616135448.0856867,001,19.0,12.0,-1.0,74.0,58.0,0.875244,0.113281,-0.470215,-0.005127,0.29771,0.160305,-0.312977,6.742285,0.605322,4.94187,-1.312329,-1.384106,-0.272754,-0.372046,-1.143652,-1.504932
1616135448.095814,001,19.0,10.0,-6.0,72.0,62.0,0.875732,0.120117,-0.467468,-0.006409,0.343511,0.10687,-0.290076,6.627441,1.063501,5.239746,-1.380518,-1.056323,0.005981,-0.674707,-0.855347,-1.353003
1616135448.1056333,001,19.0,10.0,-7.0,71.0,58.0,0.876221,0.126587,-0.464844,-0.007996,0.259542,0.10687,-0.259542,6.763818,1.971484,5.571118,-1.198682,-0.275146,0.320605,-0.912769,-0.177051,-0.864917
1616135448.115556,001,19.0,9.0,-12.0,75.0,58.0,0.877075,0.13092,-0.461975,-0.010559,0.061069,0.145038,-0.21374,7.071265,3.057715,5.836694,-0.842188,0.710596,0.556274,-1.007275,0.680689,-0.209351
1616135448.1257548,001,19.0,8.0,-10.0,73.0,58.0,0.878601,0.13208,-0.458618,-0.01416,-0.160305,0.175573,-0.175573,7.387085,3.817358,6.101074,-0.47373,1.41521,0.765625,-1.030005,1.265674,0.382812
1616135448.135788,001,20.0,4.0,-14.0,72.0,58.0,0.880737,0.129944,-0.455078,-0.018555,-0.343511,0.19084,-0.145038,7.579688,4.170264,6.285303,-0.228491,1.760937,0.874487,-0.989331,1.549194,0.733325
1616135448.145578,001,17.0,5.0,-16.0,76.0,58.0,0.882935,0.125305,-0.451843,-0.023315,-0.458015,0.167939,-0.10687,7.68855,4.050635,6.302051,-0.072974,1.674805,0.811084,-0.814673,1.469043,0.801514
1616135448.1555471,001,17.0,1.0,-18.0,72.0,55.0,0.884888,0.119324,-0.449341,-0.027649,-0.480916,0.122137,-0.076336,7.83689,3.561352,6.183618,0.107666,1.24773,0.619678,-0.504834,1.077856,0.730933
1616135448.165799,001,15.0,-1.0,-21.0,73.0,57.0,0.886353,0.113464,-0.447693,-0.03125,-0.40458,0.091603,-0.068702,8.10127,2.938086,6.213525,0.392383,0.692651,0.594556,-0.272754,0.508423,0.807495
1616135448.1757038,001,22.0,-1.0,-18.0,76.0,58.0,0.887512,0.109314,-0.44635,-0.033752,-0.251908,0.076336,-0.061069,8.34292,2.357886,6.24104,0.650781,0.160303,0.579004,-0.078955,-0.040674,0.880469
1616135448.1856546,001,17.0,0.0,-20.0,74.0,58.0,0.888062,0.107605,-0.445557,-0.034912,-0.061069,0.038168,-0.061069,8.590551,1.936792,6.342725,0.907983,-0.240454,0.660352,0.025122,-0.483301,1.040771
1616135448.1957536,001,17.0,-1.0,-22.0,73.0,58.0,0.888123,0.108032,-0.445312,-0.034668,0.083969,0.015267,-0.030534,8.866895,1.867407,6.519775,1.187915,-0.314624,0.83501,0.057422,-0.628052,1.344629
1616135448.205589,001,15.0,1.0,-22.0,72.0,57.0,0.887939,0.109985,-0.445374,-0.033264,0.167939,0.0,0.022901,9.217407,2.063599,6.743482,1.537231,-0.139966,1.068286,0.076563,-0.553882,1.790845
1616135448.2155402,001,17.0,3.0,-16.0,76.0,58.0,0.88739,0.11261,-0.445984,-0.030273,0.251908,-0.038168,0.114504,9.305933,2.255005,6.921729,1.61499,0.031104,1.268066,-0.044263,-0.437842,2.004981
1616135448.2256627,001,17.0,7.0,-15.0,74.0,58.0,0.88623,0.115417,-0.447815,-0.025574,0.29771,-0.145038,0.229008,8.964991,2.573218,6.913354,1.244141,0.343335,1.305151,-0.319409,-0.087329,1.804004
1616135448.2354798,001,19.0,10.0,-10.0,74.0,62.0,0.884338,0.117493,-0.451294,-0.019531,0.274809,-0.251908,0.358779,8.58816,3.012256,6.964795,0.809888,0.80271,1.427173,-0.723755,0.393579,1.629346
1616135448.2455752,001,18.0,13.0,-6.0,73.0,58.0,0.882141,0.118408,-0.455566,-0.012939,0.21374,-0.290076,0.427481,8.017529,3.421387,6.815259,0.169873,1.258496,1.357788,-1.102978,0.931909,1.168774
1616135448.2555568,001,26.0,13.0,-2.0,73.0,58.0,0.880127,0.118164,-0.459656,-0.006897,0.114504,-0.282443,0.419847,6.725537,3.371143,6.513794,-1.186719,1.270459,1.129297,-1.722656,1.149634,-0.0646
1616135448.2653577,001,16.0,13.0,-2.0,73.0,58.0,0.879211,0.116089,-0.462036,-0.00293,-0.068702,-0.175573,0.282443,5.365356,3.578101,4.752856,-2.589966,1.550391,-0.598145,-1.155615,1.920044,-2.107861
1616135448.2753472,001,21.0,12.0,-2.0,80.0,64.0,0.877502,0.114624,-0.465637,-0.002136,-0.091603,-0.19084,0.137405,7.055713,2.964404,5.683569,-0.947461,0.972583,0.38999,-0.954639,0.973779,-0.364868
1616135448.2856445,001,21.0,13.0,-1.0,74.0,61.0,0.877502,0.111389,-0.466492,-0.000305,-0.10687,0.053435,0.167939,8.182617,2.60791,5.615381,0.159106,0.689062,0.322998,-0.245239,0.592163,0.439038
1616135448.2955558,001,22.0,13.0,-1.0,73.0,60.0,0.878845,0.108521,-0.4646,0.001892,-0.099237,0.229008,0.160305,8.56543,2.314819,5.422778,0.557471,0.461768,0.08374,0.19978,0.379224,0.587378
1616135448.3053906,001,19.0,13.0,-1.0,73.0,59.0,0.881287,0.106384,-0.460449,0.003174,-0.10687,0.358779,0.068702,8.546289,2.211938,5.21582,0.586182,0.401953,-0.206958,0.462964,0.378027,0.435449
1616135448.3155866,001,22.0,15.0,-2.0,77.0,60.0,0.884277,0.104736,-0.455017,0.003296,-0.114504,0.40458,0.0,8.180224,2.006177,5.031592,0.287109,0.220117,-0.494067,0.543115,0.282324,-0.007178
1616135448.3255212,001,21.0,13.0,-1.0,75.0,58.0,0.887146,0.10321,-0.449707,0.002869,-0.114504,0.351145,-0.038168,7.473218,1.623364,4.824634,-0.351709,-0.145947,-0.801514,0.443823,0.035889,-0.766821
1616135448.335646,001,22.0,15.0,-1.0,73.0,58.0,0.889282,0.102173,-0.44574,0.002014,-0.068702,0.221374,-0.083969,6.839185,1.125708,4.703809,-0.933105,-0.636426,-0.996509,0.287109,-0.35769,-1.433154
1616135448.3456843,001,21.0,15.0,-4.0,72.0,59.0,0.890381,0.102234,-0.443481,0.000732,0.007634,0.10687,-0.145038,6.480298,0.6125,4.63562,-1.259692,-1.165186,-1.102978,0.212939,-0.825439,-1.851856
1616135448.3555539,001,22.0,13.0,-1.0,72.0,60.0,0.890625,0.103943,-0.442749,-0.000671,0.114504,0.007634,-0.19084,6.269751,0.100488,4.59375,-1.45708,-1.719067,-1.152026,0.178247,-1.332666,-2.14375
1616135448.3655422,001,22.0,14.0,-1.0,74.0,60.0,0.889832,0.107483,-0.44342,-0.001648,0.251908,-0.10687,-0.206107,6.079541,-0.246436,4.599731,-1.649683,-2.13418,-1.119727,0.080151,-1.709497,-2.365063
1616135448.3756428,001,22.0,13.0,-1.0,75.0,60.0,0.888,0.112915,-0.445679,-0.001892,0.366412,-0.221374,-0.19084,6.029297,-0.230884,4.720557,-1.722656,-2.211938,-0.935498,-0.081348,-1.789648,-2.349512
1616135448.3856595,001,22.0,13.0,-1.0,74.0,62.0,0.885437,0.119507,-0.449158,-0.001526,0.419847,-0.29771,-0.152672,6.299658,0.250024,4.981348,-1.490576,-1.836304,-0.583789,-0.23208,-1.496558,-1.906885
1616135448.3956923,001,22.0,11.0,-4.0,73.0,58.0,0.88269,0.126038,-0.452698,-0.000793,0.374046,-0.259542,-0.099237,7.005469,1.125708,5.400049,-0.824243,-1.061108,-0.070581,-0.309839,-0.916357,-0.934302
1616135448.4055235,001,22.0,11.0,-6.0,75.0,58.0,0.881165,0.130554,-0.454407,-0.000366,0.19084,-0.099237,-0.045802,7.802197,2.253808,5.867798,-0.044263,-0.003589,0.448608,-0.384009,-0.100488,0.211743
1616135448.4155214,001,20.0,10.0,-9.0,73.0,58.0,0.881226,0.132019,-0.453857,-0.000977,-0.038168,0.053435,-0.022901,8.261572,3.182129,6.109448,0.424683,0.892432,0.687866,-0.405542,0.649585,0.92832
1616135448.425614,001,17.0,9.0,-11.0,72.0,58.0,0.882568,0.130493,-0.45166,-0.002625,-0.229008,0.160305,-0.015267,8.504419,3.655859,6.26018,0.697437,1.374536,0.791943,-0.374438,1.061108,1.317114
1616135448.435491,001,20.0,5.0,-11.0,74.0,58.0,0.884644,0.126465,-0.44873,-0.005005,-0.358779,0.198473,-0.007634,8.479297,3.718066,6.28291,0.710596,1.481006,0.742895,-0.320605,1.18313,1.320703
1616135448.4454613,001,20.0,4.0,-13.0,73.0,59.0,0.886719,0.121216,-0.445984,-0.007568,-0.396947,0.167939,0.0,8.240039,3.391479,6.172852,0.50603,1.217822,0.559863,-0.253613,1.003687,0.989331
1616135448.4555292,001,18.0,0.0,-14.0,75.0,58.0,0.888245,0.115906,-0.444336,-0.009644,-0.343511,0.091603,0.015267,8.051025,2.796924,5.993408,0.336157,0.695044,0.326587,-0.114844,0.57063,0.601733
1616135448.4655166,001,20.0,5.0,-16.0,73.0,58.0,0.889038,0.111877,-0.443787,-0.010559,-0.206107,0.030534,0.030534,8.0271,2.138965,5.854639,0.317017,0.096899,0.160303,0.056226,0.026318,0.362476
1616135448.4755962,001,20.0,5.0,-12.0,79.0,58.0,0.889221,0.109619,-0.444031,-0.010193,-0.061069,-0.007634,0.045802,8.08811,1.72146,5.803198,0.37085,-0.277539,0.102881,0.163892,-0.332568,0.294287
1616135448.4855967,001,17.0,3.0,-14.0,73.0,58.0,0.88916,0.109192,-0.444336,-0.009094,0.030534,-0.007634,0.045802,8.123999,1.684375,5.790039,0.399561,-0.29668,0.092114,0.192603,-0.351709,0.307446
